Cliente;Producto;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Tot
101_1 - NORBERT STORK;024000306000024 - VELTINS PILS 24X50CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
101_1 - NORBERT STORK;084000072000001 - TEQUILA AGAVITA Aï¿½EJO BOT 70CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
39363 - PUB BOOT HILL C.B.;024000118000024 - VELTINS PILS 6x4x33 CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.04;0.0;0.0;29.04
39363 - PUB BOOT HILL C.B.;024000210000016 - GREVENSTEINER ORIGINAL 16X50CL ;0.0;0.0;141.66;0.0;0.0;0.0;265.6;0.0;0.0;88.54;0.0;88.54;584.34
47745 - FOGï¿½N DE LA CASONA. SL;059000017000001 - CUVEE ALPHA VINTAGE PRESTIGE BOT.75CL  C/ESTUCHE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;177.35;0.0;177.35
47745 - FOGï¿½N DE LA CASONA. SL;059000020000006 - JACQUART B DE BLANCS 75CL EST. 6X75CL C/ESTUCHE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;263.14;0.0;263.14
47745 - FOGï¿½N DE LA CASONA. SL;084000116000006 - CHEMIN DES PAPES CHATEAUNEUF 6X75 CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;117.54;0.0;117.54
47745 - FOGï¿½N DE LA CASONA. SL;084000123000006 - CALVET RESRV DU CIRON-SAUTER BCO 6X50CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.24;0.0;99.24
47745 - FOGï¿½N DE LA CASONA. SL;084000187000006 - MOILLARD GRIVOT CHABLIS BCO CAJA 6X75 CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.32;0.0;79.32
47745 - FOGï¿½N DE LA CASONA. SL;084000219000006 - FLEURS DE PRAIRIE 6X0.75CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.56;0.0;49.56
47745 - FOGï¿½N DE LA CASONA. SL;093000005000006 - YARDEN SYRAH TINTO CAJA 6X75 CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.06;0.0;99.06
47745 - FOGï¿½N DE LA CASONA. SL;093000006000006 - YARDEN CABERNET SAUVIGNON TTO CAJA 6X75 CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;117.24;0.0;117.24
49003 - RHENUS LOGISTICS. S.A.U;075000004000006 - RIESLING NAHETAL SPATLESE CAJA 6 X 75CL;0.0;0.0;0.0;0.0;0.0;0.0;558.0;0.0;0.0;0.0;0.0;0.0;558.0
50015 - CARLOS MARTINEZ MATEO;024000202000016 - GREVENSTEINER ORIGINAL RT 16X50 CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50015 - CARLOS MARTINEZ MATEO;024000210000016 - GREVENSTEINER ORIGINAL 16X50CL ;0.0;82.56;0.0;35.42;0.0;53.12;35.42;0.0;0.0;0.0;0.0;0.0;206.52
