Id;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Tot
014000001000001 - VERMOUTH LA COPA ROJO 75CL ;110.4;176.35;112.65;0.0;0.0;126.1;214.65;75.1;37.55;120.16;112.65;75.1;1160.71
014000001000006 - VERMOUTH LA COPA ROJO 6X75CL ;0.0;78.85;153.21;170.65;171.23;114.9;0.0;104.18;36.05;114.9;443.27;478.74;1865.98
014000002000006 - VERMOUTH LA COPA BLANCO 6X75CL ;0.0;0.0;45.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.06;0.0;90.12
014000003000001 - PACK VERMOUTH LA COPA 2+1+VASO ;0.0;0.0;0.0;0.0;67.59;0.0;0.0;0.0;37.53;22.53;56.78;0.0;184.43
017000002000001 - DOUGALL 942 IPA AMERICAN P.ALE 33CL ;32.0;0.0;33.6;33.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.2
017000002000024 - DOUGALL 942 IPA AMERICAN P.ALE 24X33CL ;0.0;0.0;0.0;67.17;96.77;32.26;64.52;32.26;104.83;0.0;0.0;0.0;397.81
018000002000024 - NOS FOX ENGLISH IPA CAJA 24x33 CL;0.0;0.0;0.0;0.0;36.86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.86
021000001000001 - SHIPYARD IPA AMERICAN CRAFT BOT. 50 CL;55.72;29.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;85.12
021000001000008 - SHIPYARD IPA AMERICAN CRAFT CAJA 8 x 50 CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
021000002000001 - YOUNGï¿½S STOUT CHOCOLATE BOT. 50 CL;27.86;32.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.05
021000002000008 - YOUNGï¿½S STOUT CHOCOLATE CAJA 8x50 CL;40.32;11.28;104.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;156.31
021000003000001 - HOBGOBLIN IPA CRAFTED BOT. 50 CL;59.7;227.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;287.6
021000003000012 - HOBGOBLIN IPA CRAFTED CAJA 4x3x50 CL;16.72;43.94;362.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;423.39
021000004000001 - HOBGOBLIN RUBY CRAFTED BOT. 50 CL;39.8;41.8;41.8;41.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;165.2
021000004000012 - HOBGOBLIN RUBY CRAFTED CAJA 12x50 CL;0.0;43.94;129.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;173.92
021000005000001 - BONBARDIER GLORIOUS ALE BOT. 50 CL;59.7;63.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;143.7
021000005000012 - BONBARDIER GLORIOUS ALE CAJA 12x50 CL;16.72;20.16;120.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;157.41
021000031000001 - HOBGOBLIN RUBY CRAFTED 30 LT BARRIL 30LT;63.0;441.0;315.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;819.0
022000001000024 - TYRIS MARZEN CAJA 24 x 33 CL;0.0;0.0;28.62;0.0;0.0;63.57;30.53;0.0;0.0;0.0;31.79;-31.79;122.72
022000002000012 - TYRIS ORIGINAL BLOND ALE CAJA 12x33 CL;32.64;0.0;0.0;0.0;0.0;0.0;17.16;0.0;0.0;30.89;0.0;0.0;80.69
022000003000001 - TYRIS IPA BOT. 33 CL;0.0;31.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.8
022000003000012 - TYRIS IPA CAJA 12x33 CL;0.0;0.0;0.0;0.0;0.0;63.58;31.79;50.04;82.61;193.27;31.15;81.83;534.27
022000009000012 - TYRIS AU YEA CAJA 12X33CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;72.5;0.0;0.0;72.5
022000010000012 - TYRIS LEMON & MELON CAJA 12x33 CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.89;0.0;0.0;30.89
022000011000012 - TYRIS LAGER CAJA 12x33 CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.86;16.08;0.0;28.94
022000012000012 - TYRIS Mï¿½RZEN S/CLUTEN 12X033CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;126.55;0.0;15.89;142.44
023000001000006 - MONKEY CHARDONAY (GRAPE BEER) 6X75CL;36.91;0.0;77.56;0.0;0.0;38.78;38.78;0.0;0.0;0.0;38.78;0.0;230.81
023000002000001 - MONKEY MAMBA NEGRA AME STOUT BOT 33CL;0.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0
023000002000024 - MONKEY MAMBA NEGRA AME STOUT 24X33CL;0.0;0.0;0.0;0.0;0.0;72.96;0.0;0.0;0.0;109.44;36.48;0.0;218.88
